Country,Year,MonthCode,Month,Name of distribution company,Name of major city,Additional Info,Number of EV Charging Stations excluding Heavy Duty Vehicles charging stations (including EV charging points) (UOM:Number) |Scaling Factor:1,Number of PCS specific to Heavy Duty Vehicles (E-bus etc.) (UOM:Number) |Scaling Factor:1,Electricity consumed in Electric Vehicle (EV) charging stations excluding heavy duty vehicles Public Charging Station (PCS) (UOM:KWH(KilowattPerHour)) |Scaling Factor:1,Electricity consumed in heavy duty Public Charging Station (PCS) only (UOM:KWH(KilowattPerHour)) |Scaling Factor:1,Total electricity consumed of Electric Vehicle (EV) charging stations (UOM:MU(Megaunit)) |Scaling Factor:1
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","PGVCL, Guj.","Rajkot, Surendranagar , Junagadh, Jamnagar, Morbi, Botad",,25,3,24269,313184,0.337
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","PGVCL, Guj.","Rajkot, Surendranaga r, Junagadh, Jamnagar, Morbi, Botad",,25,3,24269,313184,0.337
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","Noida Power Company Ltd. (NPCL), UP",Greater Noida,,3,0,2163,0,0.002
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","NBPDCL, Bihar",Patna,,194,0,26893,0,0.027
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","MSEDCL, Mah.","Note: Based on MSEDCL reply, July-2023 Heavy Duty power consumption has been updated to 6.89 MU (earlier 14.01 MU) and for June-2023, it is updated to 7.19 MU from 13.76 MU earlier.",,2782,17,652263,7178071,7.830
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","MSEDCL, Mah.","Navi Mumbai, Pune, Thane, Nagpur",,2782,17,652263,7178071,7.830
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","MPMKVVCL, MP","Bhopal City, Gwalior City, Betul, Guna, Harda, Itarsi, Narmadapuram, Bareli, Raisen, Narsinghgarh, Zeerapur, Ashta, Vidisha",,92,1,21720,181266,0.203
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","MPMKVVCL, MP","Bhopal City, Gwalior City, Betul, Guna, Harda, Itarsi, Narmadapura m, Bareli, Raisen, Narsinghgarh, Zeerapur, Ashta, Vidisha",,92,1,21720,181266,0.203
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","MESCOM, Kar.","Mangaluru, Udupi, Shivamogga, Chikkamagaluru",,67,2,19805,100752,0.121
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","MESCOM, Kar.","Mangaluru, Udupi, Shivamogga, Chikkamagalur u",,67,2,19805,100752,0.121
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","MESCOM, Kar.","Mangaluru, Udupi, Shivamogga, Chikkamagal uru",,67,2,19805,100752,0.121
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","LPDCL, UT of Ladakh",Chandigarh,,,7,80946,670686,0.000
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","LPDCL, UT of Ladakh","Bhopal City, Gwalior City, Betul, Guna, Harda, Itarsi, Narmadapura m, Bareli, Raisen, Narsinghgarh, Zeerapur, Ashta, Vidisha",,92,1,21720,181266,0.203
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","KSEB, Ker.","Thiruvananthap uram, Ernakulam, Kozhikode",,276,5,144612,31300,0.176
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","KSEB, Ker.","Thiruvanantha puram, Ernakulam, Kozhikode",,276,5,144612,31300,0.176
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","JVVNL, Raj.","Alwar, Dausa, JCC, JPDC",,172,11,430496,83625,0.514
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","JDVVNL, Raj.",Pali,,,11,430496,83625,0.000
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","HESCOM, Kar.",Hubli,,12,0,12807,0,0.013
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","GESCOM, Kar.",Kalaburgi,,1,0,1619,0,0.002
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","DVC, WB","Maithon, Dhanbad",,,0,3590,0,0.000
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","DHBVN, Haryana","Faridabad, Gurugram, Hisar,Rewari, Sirsa, Narnaul, Palwal",,64,0,1058482,0,1.058
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","DGVCL, Guj.","Surat City, Navsari, Vapi- Town, Haldarva, Bharuch East, Kavadiya Colony",,52,12,35136,1497936,1.533
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","CESC, WB",Kolkata,,12,11,2098,244605,0.247
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","CESC Mysore, Kar.","Mysore, Mandya, Hassan, Kodagu",,21,3,10112,197518,0.208
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","Brihan Mumbai Electric Supply Company (BEST), Mah.",MUMBAI (BEST),,46,34,223432,1843499,2.067
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","BYPL, Delhi",New Delhi,,1200,2,2698760,996120,3.695
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","BRPL, Delhi",New Delhi,,1846,3,5237277,2914680,8.152
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","BESCOM, Kar.","Bangalore, Davangere, Chitradurga, Tumkuru, Kolar",,288,0,235992,0,0.236
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","AVVNL, Raj.",Ajmer,,34,0,17127,0,0.017
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","APSPDCL, AP","Anantpur, Kadapa, Kurnool, Nellore, Tirupati",,30,8,11272,976561,0.988
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","APEPDCL, AP","Visakhapatnam, Rajmahendravar am, West Godavari, Srikakulam, Vizianagaram etc.",,70,0,38473,0,0.038
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","APEPDCL, AP","Visakhapatna m, Rajmahendrav aram, West Godavari, Srikakulam, Vizianagaram etc.",,70,0,38473,0,0.038
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","APEPDCL, AP","Visakhapatna m, Rajmahendra varam, West Godavari, Srikakulam, Vizianagaram etc.",,70,0,38473,0,0.038
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","APEPDCL, AP","Visakhapatna m, Rajmahendra varam, West Godavari, Srikakulam, Vizianagaram",,70,0,38473,0,0.038
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","APDCL, Assam","Badarpur, Karimganj,kokr ajhar, Nagaon, Silchar, Guwahati, Tezpur",,99,9,221296,19714,0.241
India,"Financial Year (Apr - Mar), 2023",202305,"August, 2023","APDCL, Assam","Badarpur, Karimganj,kok rajhar, Nagaon, Silchar, Guwahati, Tezpur",,99,9,221296,19714,0.241
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","Brihan Mumbai Electric Supply Company (BEST),Mah",Mumbai (Best),,42,31,223605,1956709,2.18
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","APDCL, Assam","Badarpur,Karimganj,Kokrajhar,Nagaon,Silchar,Guwahati,Tezpur",,96,9,197710,19095,0.217
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","APEPDCL, AP","Visakhapatnam,Rajmahendravaram,West Godavari,Srikakulam,Vizianagaram Etc",,69,0,20033,0,0.02
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","APSPDCL, AP","Anantpur,Kadapa,Kurnool,Nellore,Tirupati",,28,8,9477,859817,0.869
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","AVVNL, Raj",Ajmer,,29,0,13269,0,0.013
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","BRPL, Delhi",New Delhi,,1802,3,4909430,1566780,6.476
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","BYPL, Delhi",New Delhi,,1134,2,2137072,931140,3.068
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","CESC Mysore,Kar","Mysore, Mandya,Hassan, Kodagu",,21,3,10112,197518,0.208
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","CESC, WB",Kolkata,,12,11,2487,250515,0.253
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","DGVCL, Guj","Surat City, Navsari,Vapi-Town, Haldarva,Bharuch East, Kavadiya Colony",,49,12,35789,1390120,1.426
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","DHBVN, Haryana","Faridabad,Gurugram,Hisar,Rewari,Sirsa, Narnaul,Palwal",,69,0,1103863,0,1.104
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","DVC, WB","Maithon,Dhanbad","* = Due to non submission of data by some DISCOMs/entities , the total power consumption is provisional and may be updated later.
Information not provided",,,,,0
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","GESCOM,  Kar",Kalaburgi,Information not provided,,,,,0
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","HESCOM,  Kar",Hubli,,12,2,6857,177,0.007
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","JDVVNL, Raj",Pali,Information not provided,,,,,0
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","JVVNL, Raj","Alwar, Dausa,Jcc, Jpdc",,158,11,348636,87169,0.436
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","KSEB, Ker","Thiruvananthapuram,Ernakulam,Kozhikode",,273,4,147676,30528,0.178
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","LPDCL, UT of Ladakh",,Information not provided,,,,,0
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","MESCOM, Kar","Mangaluru, Udupi,Shivamogga,Chikkamagaluru",,67,2,17449,108312,0.126
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","MPMKVVCL, MP","Bhopal City,Gwalior City,Betul, Guna,Harda, Itarsi,Narmadapuram, Bareli,Raisen,Narsinghgarh,Zeerapur,Ashta, Vidisha",,85,1,19334,188904,0.208
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","MSEDCL, Mah","Navi Mumbai,Pune, Thane,Nagpur",,2782,17,426242,14014717,14.441
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","NBPDCL, Bihar",Patna,,181,0,16132,0,0.016
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","Noida Power Company Ltd.(NPCL), UP",Greater Noida,,3,0,960,0,0.001
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","PGVCL, Guj","Rajkot, Surendranagar,Junagadh, Jamnagar,Morbi, Botad",,25,3,22132,451922,0.474
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","SBPDCL, Bihar",Patna,Information not provided,,,,,0
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","TANGEDCO,TN","Coimbatore,Villupuram,Tirunelveli,Chennai North, Vellore",Information not provided,,,,,0
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","TPCODL, Orissa","Bhubaneswar,Puri, Khordha & Paradeep",,15,0,3683,0,0.004
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","TSNPDCL, Tng","Adilabad,Hanamkonda,Kamareddy,Karimnagar,Khammam,Mahabubabad, Nirmal,Nazimabad, Pdeapally,Warangal",,33,0,10691,0,0.011
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","TSSPDCL, Tng",Hyderabad,,91,9,69000,254000,0.323
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","Tata Power-DDL,Delhi",New Delhi,,639,2,2710000,1630000,4.34
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","Torrent Power,Guj",Ahemdabad,,22,6,11138,1745105,1.756
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","UGVCL, Guj","Hebatpur,Bavla(Ramnagar),Fedra,Dholasan,Asal, Modasa,Majadar,Nugar,Rangpur",,27,0,14804,0,0.015
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023","UHBVN,Haryana","Panchkula,Karnal,Kaithal,Sonipat,Ambala,Kurukshetra",,14,0,12912,0,0.013
India,"Financial Year (Apr - Mar), 2023",202304,"July, 2023",UT Chandigarh,Chandigarh,,18,6,39676,538664,0.578
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","AVVNL, Raj",Ajmer,,27,0,18102,0,0.018
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","APSPDCL, AP","Anantpur,Kadapa,Kurnool,Nellore,Tirupati",,28,8,10731,727348,0.738
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","APEPDCL, AP","Visakhapatnam,Rajmahendravaram,West Godavari,Srikakulam,Vizianagaram Etc",,68,0,26034,0,0.026
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","APDCL, Assam","Badarpur,Karimganj,Kokrajhar,Nagaon,Silchar,Guwahati,Tezpur",,94,6,192949,18346,0.211
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","MESCOM, Kar","Mangaluru, Udupi,Shivamogga,Chikkamagaluru",,67,2,16744,183930,0.201
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","PGVCL, Guj","Rajkot, Surendranagar,Junagadh, Jamnagar,Morbi, Botad",,25,3,21544,508455,0.53
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","SBPDCL, Bihar",Patna,,152,2,68274,233001,0.301
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","TANGEDCO,TN","Coimbatore,Villupuram,Tirunelveli,Chennai North, Vellore",Information not provided,,,,,0
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","TPCODL, Orissa","Bhubaneswar,Puri, Khordha & Paradeep",,15,0,4388,0,0.004
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","TSNPDCL, Tng","Adilabad,Hanamkonda,Kamareddy,Karimnagar,Khammam,Mahabubabad, Nirmal,Nazimabad, Pdeapally,Warangal",,32,0,11237,0,0.011
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","TSSPDCL, Tng",Hyderabad,,82,9,56000,258000,0.314
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","Tata Power-DDL,Delhi",New Delhi,,635,2,2780000,1510000,4.29
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","Torrent Power,Guj",Ahemdabad,,19,6,12648,1766123,1.779
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","UGVCL, Guj","Hebatpur,Bavla(Ramnagar),Fedra,Dholasan,Asal, Modasa,Majadar,Nugar,Rangpur",,24,0,12917,0,0.013
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","UHBVN,Haryana","Panchkula,Karnal,Kaithal,Sonipat,Ambala,Kurukshetra",,12,0,13880,0,0.014
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023",UT Chandigarh,Chandigarh,,15,6,19546,493006,0.513
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","MPMKVVCL, MP","Bhopal City,Gwalior City,Betul, Guna,Harda, Itarsi,Narmadapuram, Bareli,Raisen,Narsinghgarh,Zeerapur,Ashta, Vidisha",Information not provided,,,,,
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","MSEDCL, Mah","Navi Mumbai,Pune, Thane,Nagpur",,2782,17,531467,13764283,14.296
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","NBPDCL, Bihar",Patna,,167,0,14120,0,0.014
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","Noida Power Company Ltd.(NPCL), UP",Greater Noida,,3,0,674,0,0.001
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","LPDCL, UT of Ladakh",,Information not provided,,,,,0
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","KSEB, Ker","Thiruvananthapuram,Ernakulam,Kozhikode",,265,4,140330,36304,0.177
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","JVVNL, Raj","Alwar, Dausa,Jcc, Jpdc",,151,10,378299,77962,0.456
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","JDVVNL, Raj",Pali,Information not provided,,,,,0
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","HESCOM,  Kar",Hubli,,9,2,6343,224,0.007
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","GESCOM,  Kar",Kalaburgi,Information not provided,,,,,0
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","DVC, WB","Maithon,Dhanbad","* = Due to non submission of data by some DISCOMs/entities , the total power consumption is provisional and may be updated later.
Information not provided",,,,,0
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","DHBVN, Haryana","Faridabad,Gurugram,Hisar,Rewari,Sirsa, Narnaul,Palwal",,58,0,1070260,0,1.07
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","DGVCL, Guj","Surat City, Navsari,Vapi-Town, Haldarva,Bharuch East, Kavadiya Colony",,49,12,34844,1481719,1.517
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","CESC, WB",Kolkata,,12,11,2580,246438,0.249
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","CESC Mysore,Kar","Mysore, Mandya,Hassan, Kodagu",,22,3,25205,170568,0.196
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","Brihan Mumbai Electric Supply Company (BEST),Mah",Mumbai (Best),,37,25,175619,1839659,2.015
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","BYPL, Delhi",New Delhi,,1124,2,2148845,1001520,3.15
India,"Financial Year (Apr - Mar), 2023",202303,"June, 2023","BRPL, Delhi",New Delhi,,1756,2,4473639,1171098,5.645
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","TSSPDCL, Tng",Hyderabad,,79,7,53000,243000,0.296
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","Torrent Power,Guj",Ahemdabad,,17,6,10699,1867100,1.878
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","UGVCL, Guj","Hebatpur,Bavla(Ramnagar),Fedra,Dholasan,Asal, Modasa,Majadar,Nugar,Rangpur",,21,0,12704,0,0.013
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","UHBVN,Haryana","Panchkula,Karnal,Kaithal,Sonipat,Ambala,Kurukshetra",,8,0,12393,0,0.012
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023",UT Chandigarh,Chandigarh,,15,6,30602,611232,0.642
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","APDCL, Assam","Badarpur,Karimganj,Kokrajhar,Nagaon,Silchar,Guwahati,Tezpur",,78,4,131088,17834,0.149
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","APEPDCL, AP","Visakhapatnam,Rajmahendravaram,West Godavari,Srikakulam,Vizianagaram Etc",,65,0,19666,0,0.02
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","APSPDCL, AP","Anantpur,Kadapa,Kurnool,Nellore,Tirupati",,28,7,9807,613092,0.623
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","AVVNL, Raj",Ajmer,,26,0,17285,0,0.017
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","BRPL, Delhi",New Delhi,,1709,2,4145784,1008822,5.155
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","BYPL, Delhi",New Delhi,,1101,2,1988552,717870,2.706
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","Brihan Mumbai Electric Supply Company (BEST),Mah",Mumbai (Best),,30,20,102494,1745558,1.848
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","CESC Mysore,Kar","Mysore, Mandya,Hassan, Kodagu",,20,3,6910,222310,0.229
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","CESC, WB",Kolkata,,12,11,3938,246234,0.25
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","DGVCL, Guj","Surat City, Navsari,Vapi-Town, Haldarva,Bharuch East, Kavadiya Colony",,48,12,27378,1248799,1.276
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","DHBVN, Haryana","Faridabad,Gurugram,Hisar,Rewari,Sirsa, Narnaul,Palwal",,55,0,793162,0,0.793
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","DVC, WB","Maithon,Dhanbad","* = Due to non submission of data by some DISCOMs/entities , the total power consumption is provisional and may be updated later.
Information not provided",,,,,0
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","GESCOM,  Kar",Kalaburgi,Information not provided,,,,,0
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","HESCOM,  Kar",Hubli,,8,2,3238,210,0.003
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","JDVVNL, Raj",Pali,Information not provided,,,,,0
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","JVVNL, Raj","Alwar, Dausa,Jcc, Jpdc",,136,8,309838,90443,0.4
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","KSEB, Ker","Thiruvananthapuram,Ernakulam,Kozhikode",,264,4,110296,27540,0.138
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","LPDCL, UT of Ladakh",,Information not provided,,,,,0
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","MESCOM, Kar","Mangaluru, Udupi,Shivamogga,Chikkamagaluru",,66,1,8653,3930,0.013
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","MPMKVVCL, MP","Bhopal City,Gwalior City,Betul, Guna,Harda, Itarsi,Narmadapuram, Bareli,Raisen,Narsinghgarh,Zeerapur,Ashta, Vidisha",Information not provided,,,,,
India,"Financial Year (Apr - Mar), 2022",202212,"March, 2023","AVVNL, Raj",Ajmer,,22,0,7938,0,0.008
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","MSEDCL, Mah","Navi Mumbai,Pune, Thane,Nagpur",,2782,17,406452,7139199,7.546
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","NBPDCL, Bihar",Patna,,153,0,15605,0,0.016
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","Noida Power Company Ltd.(NPCL), UP",Greater Noida,,3,0,198,0,0
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","PGVCL, Guj","Rajkot, Surendranagar,Junagadh, Jamnagar,Morbi, Botad",,19,3,17529,490158,0.508
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","SBPDCL, Bihar",Patna,,136,2,65876,230952,0.297
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","TANGEDCO,TN","Coimbatore,Villupuram,Tirunelveli,Chennai North, Vellore",Information not provided,,,,,0
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","TPCODL, Orissa","Bhubaneswar,Puri, Khordha & Paradeep",,15,0,3432,0,0.003
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","TSNPDCL, Tng","Adilabad,Hanamkonda,Kamareddy,Karimnagar,Khammam,Mahabubabad, Nirmal,Nazimabad, Pdeapally,Warangal",,32,0,13637,0,0.014
India,"Financial Year (Apr - Mar), 2023",202302,"May, 2023","Tata Power-DDL,Delhi",New Delhi,,628,2,3320000,1290000,4.61
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","MPMKVVCL, MP","Bhopal City,Gwalior City,Betul, Guna,Harda, Itarsi,Narmadapuram, Bareli,Raisen,Narsinghgarh,Zeerapur,Ashta, Vidisha",Information not provided,,,,,
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","MSEDCL, Mah","Navi Mumbai,Pune, Thane,Nagpur",,2782,15,413578,6361689,6.775
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","NBPDCL, Bihar",Patna,,107,0,9338,0,0.009
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","Noida Power Company Ltd.(NPCL), UP",Greater Noida,,3,0,117,0,0
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","PGVCL, Guj","Rajkot, Surendranagar,Junagadh, Jamnagar,Morbi, Botad",,19,3,14876,441657,0.457
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","SBPDCL, Bihar",Patna,,103,2,142024,196093,0.338
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","TANGEDCO,TN","Coimbatore,Villupuram,Tirunelveli,Chennai North, Vellore",Information not provided,,,,,0
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","TPCODL, Orissa","Bhubaneswar,Puri, Khordha & Paradeep",,15,0,1812,0,0.002
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","TSNPDCL, Tng","Adilabad,Hanamkonda,Kamareddy,Karimnagar,Khammam,Mahabubabad, Nirmal,Nazimabad, Pdeapally,Warangal",,32,0,8015,0,0.008
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","TSSPDCL, Tng",Hyderabad,,64,6,44000,172000,0.216
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","Tata Power-DDL,Delhi",New Delhi,,621,2,3120000,1490000,4.61
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","Torrent Power,Guj",Ahemdabad,,14,6,10699,1732732,1.743
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","UGVCL, Guj","Hebatpur,Bavla(Ramnagar),Fedra,Dholasan,Asal, Modasa,Majadar,Nugar,Rangpur",,20,0,8187,0,0.008
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","UHBVN,Haryana","Panchkula,Karnal,Kaithal,Sonipat,Ambala,Kurukshetra",,8,0,11948,0,0.012
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023",UT Chandigarh,Chandigarh,,15,6,534,486706,0.487
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","APDCL, Assam","Badarpur,Karimganj,Kokrajhar,Nagaon,Silchar,Guwahati,Tezpur",,77,4,131075,17800,0.149
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","APEPDCL, AP","Visakhapatnam,Rajmahendravaram,West Godavari,Srikakulam,Vizianagaram Etc",,65,0,24563,0,0.025
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","APSPDCL, AP","Anantpur,Kadapa,Kurnool,Nellore,Tirupati",,28,7,9087,609081,0.618
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","AVVNL, Raj",Ajmer,,24,0,10674,0,0.011
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","BRPL, Delhi",New Delhi,,1666,1,4044558,864960,4.91
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","BYPL, Delhi",New Delhi,,1024,2,2214653,823223,3.038
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","Brihan Mumbai Electric Supply Company (BEST),Mah",Mumbai (Best),,23,16,52676,1706136,1.759
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","CESC Mysore,Kar","Mysore, Mandya,Hassan, Kodagu",,20,3,6665,84995,0.092
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","CESC, WB",Kolkata,,12,11,4288,228607,0.233
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","DGVCL, Guj","Surat City, Navsari,Vapi-Town, Haldarva,Bharuch East, Kavadiya Colony",,43,11,27102,1270038,1.297
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","DHBVN, Haryana","Faridabad,Gurugram,Hisar,Rewari,Sirsa, Narnaul,Palwal",,46,0,611819,0,0.612
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","DVC, WB","Maithon,Dhanbad","* = Due to non submission of data by some DISCOMs/entities , the total power consumption is provisional and may be updated later.
Information not provided",,,,,0
India,"Financial Year (Apr - Mar), 2023",202301,"April, 2023","GESCOM,  Kar",Kalaburgi,Information not provided,,,,,0
