Country,Year,MonthCode,Month,Name of distribution company,Name of major city,Additional Info,Number of EV Charging Stations excluding Heavy Duty Vehicles charging stations (including EV charging points) (UOM:Number) |Scaling Factor:1,Number of PCS specific to Heavy Duty Vehicles (E-bus etc.) (UOM:Number) |Scaling Factor:1,Electricity consumed in Electric Vehicle (EV) charging stations excluding heavy duty vehicles Public Charging Station (PCS) (UOM:KWH(KilowattPerHour)) |Scaling Factor:1,Electricity consumed in heavy duty Public Charging Station (PCS) only (UOM:KWH(KilowattPerHour)) |Scaling Factor:1,Total electricity consumed of Electric Vehicle (EV) charging stations (UOM:MU(Megaunit)) |Scaling Factor:1
India,"Financial Year (Apr - Mar), 2023",202308,"November, 2023","CESC Mysore, Kar.","Mysore, Mandya, Hassan, Kodagu",,26,3,15274,225900,0.241
India,"Financial Year (Apr - Mar), 2023",202308,"November, 2023","Brihan Mumbai Electric Supply Company (BEST), Mah.",MUMBAI (BEST),,405,40,472803,2030902,2.504
India,"Financial Year (Apr - Mar), 2023",202308,"November, 2023","BYPL, Delhi",New Delhi,,1268,3,2612813,1602760,4.216
India,"Financial Year (Apr - Mar), 2023",202308,"November, 2023","BRPL, Delhi",New Delhi,,1975,3,4969180,2440860,7.410
India,"Financial Year (Apr - Mar), 2023",202308,"November, 2023","BESCOM, Kar.","Bangalore, Davangere, Chitradurga, Tumkuru, Kolar",,308,0,245073,0,0.245
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","LPDCL, UT of Ladakh","Bhopal City, Gwalior City, Betul, Guna, Harda, Itarsi, Narmadapura m, Bareli, Raisen, Narsinghgarh, Zeerapur, Ashta, Vidisha",,96,1,24713,208212,0.233
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","KSEB, Ker.","Thiruvanantha puram, Ernakulam, Kozhikode",,,5,144612,31300,0.000
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","JVVNL, Raj.","Alwar, Dausa, JCC, JPDC",,,11,430496,83625,0.000
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","JDVVNL, Raj.",Pali,,,11,430496,83625,0.000
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","HESCOM, Kar.",Hubli,,23,0,15115,0,0.015
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","GESCOM, Kar.",Kalaburgi,,1,0,1593,0,0.002
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","DVC, WB","Maithon, Dhanbad",,,0,3590,0,0.000
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","CESC, WB",Kolkata,,12,11,3860,217518,0.221
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","DHBVN, Haryana","Faridabad, Gurugram, Hisar,Rewari, Sirsa, Narnaul, Palwal",,80,0,1135212,0,1.135
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","CESC Mysore, Kar.","Mysore, Mandya, Hassan, Kodagu",,25,3,11565,199020,0.211
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","Brihan Mumbai Electric Supply Company (BEST), Mah.",MUMBAI (BEST),,258,40,390484,1826358,2.217
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","BYPL, Delhi",New Delhi,,1263,3,2601136,946700,3.548
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","BRPL, Delhi",New Delhi,,1926,3,4521290,2748480,7.270
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","BESCOM, Kar.","Bangalore, Davangere, Chitradurga, Tumkuru, Kolar",,302,0,237260,0,0.237
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","AVVNL, Raj.",Ajmer,,,0,17127,0,0.000
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","APSPDCL, AP","Anantpur, Kadapa, Kurnool, Nellore, Tirupati",,30,8,12074,1181724,1.194
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","APEPDCL, AP","Visakhapatna m, Rajmahendrav aram, West Godavari, Srikakulam, Vizianagaram etc.",,75,0,34043,0,0.034
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","APEPDCL, AP","Visakhapatna m, Rajmahendra varam, West Godavari, Srikakulam, Vizianagaram",,75,0,34043,0,0.034
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","APDCL, Assam","Badarpur, Karimganj,kokr ajhar, Nagaon, Silchar, Guwahati, Tezpur",,,10,219564,19433,0.000
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","APDCL, Assam","Badarpur, Karimganj,kok rajhar, Nagaon, Silchar, Guwahati, Tezpur",,,10,219564,19433,0.239
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",UT Chandigarh,Chandigarh,,,7,80946,670686,0.000
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","UHBVN, Haryana","Panchkula, Karnal, Kaithal, Sonipat, Ambala, Kurukshetra",,19,0,63721,0,0.064
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","UGVCL, Guj.","Surat City, Navsari, Vapi- Town, Haldarva, Bharuch East, Kavadiya Colony",,53,13,51763,1597021,1.649
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","UGVCL, Guj.","Hebatpur, Bavla (Ramnagar), FEDRA, Dholasan, Asal, Modasa, Majadar, Nugar, Rangpur",,31,0,13607,0,0.014
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","Torrent Power, Guj.",Ahemdabad,,31,8,15417,1737566,1.753
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","Tata Power-DDL, Delhi",New Delhi,,712,5,3120000,4310000,7.430
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","Tata Power- DDL, Delhi",New Delhi,,712,5,3120000,4310000,7.430
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","TSSPDCL, Tng.",Hyderabad,,,9,90000,320000,0.000
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","TSNPDCL, Tng.","Coimbatore, Villupuram, Tirunelveli, Chennai North, Vellore",,139,0,597914,0,0.598
India,"Financial Year (Apr - Mar), 2023",202307,"October, 2023","TSNPDCL, Tng.","Adilabad, Hanamkonda, Kamareddy, Karimnagar, Khammam, Mahabubaba d, Nirmal, Nazimabad, Pdeapally, Warangal",,35,0,10692,0,0.011
